"","PROLIFIC_PID","condition","mm"
"1","559af16efdf99b361ac467b2","Random",0.25625
"2","56494d5b6902220012c4acb7","Random",0.28515625
"3","56514c84715ff50011a43878","FRandom",0.340625
"4","56caf7b564c068000c4d798a","FRandom",0.3109375
"5","56f29effed0cf60006911528","BRandom",0.3703125
"6","59f71f797086f80001941493","BRandom",0.3328125
"7","5ac4c721e1099600016a823b","BRandom",0.26171875
"8","5b0c65c11e55760001b96e90","FRandom",0.31015625
"9","5b2eae5577b17f0001c037af","Backward",0.303125
"10","5bde6c564842880001308324","Forward",0.2859375
"11","5be745d20dd2f60001a212b6","FRandom",0.4015625
"12","5c58fdd6fa9e940001080c18","Forward",0.28203125
"13","5c748f00300d3d000126ef3b","Forward",0.515625
"14","5ca272f5caf59c0001a942cb","Backward",0.2515625
"15","5d0f9b5a905351000124f56c","Backward",0.40625
"16","5d2f054b1dde3600015e43d9","FRandom",0.3765625
"17","5d546feb05470f001b8d1436","Backward",0.328125
"18","5dec8925be656d35d4005320","BRandom",0.37265625
"19","5df6818e2b12bd474abc4c9d","BRandom",0.27421875
"20","5e3adfc595ff562fbdd130fa","BRandom",0.271875
"21","5e5de7a9151524109818ad6a","BRandom",0.35546875
"22","5e6bdd2a3ea572199bb7f6b6","Random",0.2796875
"23","5e795e145ae151517cef0e21","BRandom",0.25078125
"24","5e9679a26b86610fdf2c766a","BRandom",0.4890625
"25","5ecbfc627a51250bfb1f297f","Backward",0.58125
"26","5ef42ba59401801d9f859e2d","Random",0.26953125
"27","5f1c2ebf1d8b7c48ad3ec3db","FRandom",0.48828125
"28","5fadd628cd4e9e1c42dab969","Forward",0.35390625
"29","5fb7dd473afbb1033b491811","BRandom",0.32734375
"30","5fc43976862e3e7756f5d661","Backward",0.28515625
"31","5fe0d610dd8cf1a331961cbe","Backward",0.3140625
"32","5ff669ef0d726a203b4f1f99","Backward",0.7484375
"33","60838e2e91a6300001f9ac89","Random",0.34765625
"34","60b9c29d06673fa36e5d81bb","Backward",0.29765625
"35","60ca3dc8b1adc234cbed8132","Backward",0.3640625
"36","60df2cf84c6912e1e87d887f","Backward",0.52890625
"37","60fd4144794d17b47f9dc4ad","FRandom",0.25859375
"38","60fdcfdeb5c7968c899442e8","Backward",0.26171875
"39","60fddf65c738186dc2bf2693","FRandom",0.33203125
"40","60fdee22273f69b19ee4b8fb","Backward",0.309375
"41","610031c14f729658346606e6","Backward",0.375
"42","61015c1296c57266c538a794","FRandom",0.30703125
"43","610247cdbc9b348fd6601cb3","Random",0.38984375
"44","61146b55c0d8a78134afc566","Backward",0.27109375
"45","612323ddbebadb638a141ce3","BRandom",0.36875
"46","614f58258eaf7063aa888d90","Random",0.26015625
"47","61fa92ff5719bc09cb834baa","Backward",0.44453125
"48","622f7f35376a1f92763ddbe2","Random",0.434375
"49","627809c52874925390a423a6","Forward",0.27265625
"50","62dc78329e1358440d6c29a1","BRandom",0.31953125
"51","62fcf3d9948e4a6a9623cce8","Random",0.4546875
"52","631b485e2d1909111a6fb09a","Backward",0.2640625
"53","632f7d0761bce49001d13953","FRandom",0.334375
"54","63bf745cc01669a110ec48ba","Backward",0.3328125
"55","63c18301a31679d3e3e39101","BRandom",0.32109375
"56","63d15e1be853005ff591b935","Random",0.31796875
"57","63e55908254a436361a6787b","Random",0.31953125
"58","63f77b9ca8439f6e1620c1cd","Random",0.3640625
"59","64664bc615dd4139df276075","Random",0.30390625
"60","646ecedf66755947f18246b3","FRandom",0.2765625
"61","650afc00d748aa554ebde221","FRandom",0.44375
"62","652c5f38cf13042034313b91","Backward",0.309375
"63","654656fff30bb961559e71af","Forward",0.75859375
"64","654f39d42ccb9fe00c46be78","FRandom",0.328125
"65","655341eb4e3bc14629ff1f23","FRandom",0.37734375
"66","655a35db05bf46b182b8b187","Forward",0.28203125
"67","655f97cd4f1c17ae262fd0fa","BRandom",0.2953125
"68","65614c86be0b8460a11d0b64","Forward",0.25546875
"69","656bb9267df44f2c87420776","Random",0.38515625
"70","656e050362bb2e6353f7d92d","Random",0.32109375
"71","657327316173c2bd86323378","FRandom",0.26015625
"72","657a3ae563b921afefbe93b7","Forward",0.78046875
"73","6585cca7b2c67207494fb7d6","Random",0.378125
