"","success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","is_finished","codeversion","is_changedfullscreen","designversion","timepassed_mins","width","height","HaveSeenImages","all_accumulated_accuracy","rt","rt_keypresses","response","keypresses","rt_key_start","rt_key_end","task","id","webaudio","mobile","os","fullscreen","vsync_rate","webcam","microphone","question_order","stimulus","anRepeatedItem","current_assignmentTypesWithinList","is_chosenFinal","is_currentObjAppear1","is_studied_appear0_initial","is_studied_appear1_initial","is_studied_appear2_initial","is_tested_appear0_initial","is_tested_appear1_initial","is_tested_appear2_initial","listNum_appear0_initial","listNum_appear1_initial","stimulusConditionName_nPlusOneTrial","num_CurrObjAppear","stimulusConditions","studyPos_appear0_initial","studyPos_appear1_initial","studyPos_appear2_initial","testPos_appear0_initial","testPos_appear1_initial","testPos_appear2_initial","testPos_final","type_code_studiedCurr","type_code_testiedCurr","type_code_testiedNext","type_comment","id_picName","is_old","correct_response_key","listNum_appear2_initial","listNum_pickedFrom","listNum_infinalOrder","presPos_digit","stimulus_id","sum_currList","correct_response","correct","responsesum","accumulated_accuracy","recognition_correct","correct_appear1","correct_appear2"
"1","true","false","[]","[]","[]","preload",0,31803,"0.0-0.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,0.56,1366,633,"No",0.678030303030303,"","","","",NA,NA,"","","","","","",NA,"","","","","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"2","","","","","","survey-text",1,46499,"0.0-1.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,0.81,1366,633,"No",0.678030303030303,"14686","[14683]","{""Q0"":""67cb5baef51d73572cb490ae""}","[""Enter""]",0,NA,"enterid","67cb5baef51d73572cb490ae","","","","",NA,"","","","","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"3","","","","","","browser-check",2,47487,"0.0-2.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,0.82,1366,633,"No",0.678030303030303,"","","","",NA,NA,"","","true","false","Windows 10","true",61.23,"false","false","","","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"4","","","","","","survey-multi-choice",3,282983,"0.0-3.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,4.75,1366,633,"No",0.678030303030303,"235493","","{""consent"":""I have read and understand this information and agree to join this study. <p style='text-align: left'> Clicking to confirm, then press 'enter' to continue.</p>""}","",NA,NA,"","","","","","",NA,"","","[0]","","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"5","true","","","","","fullscreen",4,363025,"0.0-4.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,6.08,1366,768,"No",0.678030303030303,"","","","",NA,NA,"","","","","","",NA,"","","","","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"6","","","","","","html-keyboard-response",5,490605,"0.0-5.0-0.0-0.0-0.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.21,1366,768,"No",0.678030303030303,"127574","","enter","",NA,NA,"instructions_practice","","","","","",NA,"","","","

        <p style='text-align: justify;color: black;background: white;font: caption-;'>1. A list of 30 pictures will appear on the screen one at a time. Study the pictures as they appear.</p>
        <p style='text-align: justify;color: black;background: white;font: caption-;'>2. After a brief blank period, you will see a series of numbers. Add these numbers as they appear. When prompted with ""TYPE THE SUM,"" use the number keys to enter your answer.</p>
         
        <p style='text-align: justify; color: black; background: white; font: caption-;'> 
        3. Next, you will see a series of test pictures from the list you just studied. For each picture, press the <strong>""J""</strong> key if you recognize it as one you’ve seen in the current list. Press the <strong>""F""</strong> key if you don’t recognize it as one from the current list. <br>   
          <strong>Accumulated accuracy will be displayed throughout the experiment. Please pay attention and try to get an averaged performance higher than 60% (chance level is 50%).</strong></p><br>
        <p style='text-align: justify; color: black; background: white; font: caption-;'>
        You will begin with a practice list, followed by nine formal test lists. <strong>For each test, respond based only on the list you JUST studied. If a picture appeared in a previous list but not the current one, press the <strong>""F""</strong> key.</strong>
        </p>

    <p style='text-align: justify;color: black;background: white;font: caption-;'>Do not worry if you are unsure about some test pictures. This is normal, but please make your best guess.</p>
        <p style='text-align: justify;color: black;background: white;font: caption-;'>Press the ""Enter"" key to start the practice list.</p>
          
          ","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"7","","","","","","html-keyboard-response",6,491727,"0.0-5.0-1.0-0.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.23,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"fixation","","","","","",NA,"","","","<div style=""font-size:60px;"">+</div>","","","","","","","","","","",NA,NA,"","","","",NA,NA,"",NA,NA,NA,"","","","","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",""
"8","","","","","","image-keyboard-response",7,493750,"0.0-5.0-2.0-0.0",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.26,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (64).jpg","false","T_target","true","true","true","true","false","true","true","false",1,1,"B","1","B","1",1,0,"24",24,0,407,"1","1","0","current target, not in next trial","1 (64).jpg","null","null","0",0,"9",NA,NA,NA,NA,NA,"",NA,NA,"",""
"9","","","","","","image-keyboard-response",8,495870,"0.0-5.0-2.0-0.1",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.3,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (1857).jpg","true","T_target","true","true","true","true","false","true","true","true",1,1,"Dn","1","Dn","2",2,0,"19",19,4,152,"1","1","1","current target, in next trial","1 (1857).jpg","null","null","2",0,"3",NA,NA,NA,NA,NA,"",NA,NA,"",""
"10","","","","","","image-keyboard-response",9,497998,"0.0-5.0-2.0-0.2",1,"r","2025-04-19 04:56:33","800ada036aababc29b2738b065f35859","23.153.64.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10","https://app.prolific.com/","en-US,en;q=0.9","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6","67cb5baef51d73572cb490ae","67ed4ce3ffc80f56376b0d69","68032cdfbebdd287f8dbb4c6",1,1.3,0,3,8.33,1366,768,"No",0.678030303030303,"null","","null","",NA,NA,"initial_study","","","","","",NA,"","","","https://raw.githubusercontent.com/Shu-Lea-Lai/project-visualmemory-sideexp/master/images/1 (233).jpg","false","T_nontarget","false","true","true","true","false","false","false","false",1,1,"A","1","A","3",3,0,"0",0,0,0,"1","0","0","studied only, not in trial","1 (233).jpg","null","null","0",0,"null",NA,NA,NA,NA,NA,"",NA,NA,"",""
